surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data,outcome
1.0,0.0,528682.0,39.3,84.0,30.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,65.0,8.0,0.0,2.0,1.0,3205.0,0.0,0.0,0.0,1.0
1.0,0.0,530028.0,38.1,164.0,36.0,3.0,2.0,5.0,1.0,0.0,3.0,0.0,2.0,0.0,6.0,1.0,1.0,44.0,6.7,2.0,3.6,0.0,3205.0,0.0,0.0,1.0,2.0
1.0,0.0,528548.0,38.0,66.0,12.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,2.0,2.0,4.5,0.0,0.0,60.0,7.4,2.0,3.9,1.0,2124.0,0.0,0.0,1.0,2.0
1.0,0.0,528134.0,38.0,124.0,88.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,7.0,2.6666666666666665,1.0,39.0,13.0,2.0,6.6,1.0,2206.0,0.0,0.0,1.0,2.0
0.0,0.0,528305.0,38.3,44.0,24.0,3.0,2.0,5.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0,3.0,0.3333333333333333,33.0,6.5,1.0,3.6,0.0,31110.0,0.0,0.0,1.0,2.0
1.0,0.0,534885.0,37.8,60.0,16.0,1.0,2.6666666666666665,3.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0,3.0,1.0,37.0,75.0,1.0,1.0,1.0,2208.0,0.0,0.0,0.0,1.0
1.0,0.0,5290482.0,38.8,72.0,24.0,0.0,3.0,4.0,1.0,1.0,3.0,0.0,0.0,1.0,4.5,0.0,0.0,52.0,7.4,2.0,3.3,0.0,3205.0,0.0,0.0,1.0,2.0
1.0,0.0,5279822.0,38.1,96.0,48.0,1.0,3.0,2.0,2.0,2.3333333333333335,2.0,1.0,2.0,1.0,5.0,1.3333333333333333,0.6666666666666666,72.0,6.8,1.3333333333333333,3.6,1.0,2205.0,0.0,0.0,0.0,0.0
1.0,0.0,5299629.0,37.5,70.0,36.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,7.5,3.0,3.0,35.0,8.4,2.0,4.5,1.0,7111.0,0.0,0.0,1.0,0.0
1.0,0.0,533692.0,37.8,48.0,16.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,53.0,53.0,0.0,2.0,1.0,3205.0,0.0,0.0,0.0,1.0
1.0,0.0,535208.0,37.5,96.0,24.0,1.0,3.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,66.0,65.0,2.0,2.0,1.0,2208.0,0.0,0.0,0.0,1.0
1.0,0.0,528523.0,38.0,66.0,12.0,2.0,2.0,5.0,1.0,3.0,3.0,3.0,0.0,2.0,3.0,0.0,1.0,44.0,6.1,2.0,3.6,1.0,2208.0,0.0,0.0,1.0,2.0
1.0,1.0,529893.0,38.7,88.0,20.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,0.0,7.0,2.0,3.0,34.0,6.1,1.0,2.6,1.0,7111.0,0.0,0.0,0.0,0.0
1.0,0.0,534145.0,38.1,129.0,48.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,57.0,66.0,2.0,2.0,0.0,3205.0,0.0,0.0,0.0,1.0
1.0,0.0,530233.0,37.6,96.0,48.0,1.0,3.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,4.5,0.0,0.3333333333333333,45.0,4.6,1.0,2.8,1.0,3207.0,0.0,0.0,1.0,0.0
1.0,0.0,529399.0,39.1,84.0,48.0,1.0,3.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,5.0,1.0,3.0,59.0,8.4,2.0,3.3,0.0,4206.0,0.0,0.0,1.0,2.0
1.0,0.0,530354.0,38.0,92.0,28.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.6666666666666666,46.0,5.3,2.0,2.0,1.0,3111.0,0.0,0.0,0.0,2.0
1.0,0.0,528503.0,39.4,124.0,32.0,0.0,3.0,4.0,1.0,2.0,0.0,0.0,2.0,1.0,5.0,1.0,3.0,48.0,7.3,2.0,3.4,0.0,2209.0,0.0,0.0,1.0,1.0
0.0,1.0,529796.0,40.3,114.0,36.0,1.0,3.0,4.0,2.0,1.0,3.0,0.0,1.0,2.0,7.0,0.0,1.0,47.0,7.5,2.0,4.5,1.0,2113.0,0.0,0.0,0.0,0.0
0.0,0.0,529642.0,37.6,48.0,28.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,6.5,3.0,2.0,49.0,7.0,0.0,3.6,0.0,0.0,0.0,0.0,1.0,2.0
0.0,0.0,529796.0,38.5,60.0,40.0,1.0,3.0,1.0,2.0,1.0,3.0,0.0,2.0,1.0,5.5,0.0,3.0,45.0,8.6,2.0,4.1,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,527916.0,38.0,129.0,96.0,1.0,3.0,2.0,2.0,1.0,0.0,3.0,2.0,1.0,5.0,0.0,1.0,73.0,8.4,2.0,4.1,1.0,2206.0,0.0,0.0,1.0,1.0
1.0,0.0,530360.0,38.0,64.0,24.0,2.0,2.0,5.0,1.0,3.0,3.0,0.0,1.0,2.0,3.5,0.0,0.0,47.0,7.5,1.0,2.6,1.0,3209.0,0.0,0.0,1.0,0.0
1.0,0.0,528298.0,37.2,96.0,24.0,0.0,2.0,5.0,1.0,3.0,3.0,0.0,2.0,1.0,4.5,1.3333333333333333,1.0,31.5,6.1,2.0,5.3,1.0,3209.0,0.0,0.0,1.0,2.0
1.0,0.0,533871.0,38.5,80.0,16.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,54.0,67.0,0.0,2.0,1.0,3205.0,0.0,0.0,0.0,2.0
1.0,0.0,529388.0,37.2,68.0,12.0,2.0,2.0,5.0,1.0,3.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,49.0,7.0,1.0,2.6,1.0,2124.0,0.0,0.0,0.0,2.0
1.0,0.0,527563.0,37.6,92.0,20.0,1.0,3.0,4.0,1.0,3.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,48.0,6.0,2.0,3.4,1.0,2209.0,0.0,0.0,1.0,2.0
1.0,0.0,528548.0,38.2,68.0,24.0,2.0,2.6666666666666665,0.0,1.0,3.0,3.0,0.0,2.0,2.0,3.0,3.0,0.0,45.0,7.0,1.0,3.6,1.0,3113.0,0.0,0.0,1.0,2.0
1.0,0.0,534163.0,38.1,140.0,68.0,1.0,3.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,39.0,64.0,1.6666666666666667,2.0,1.0,3205.0,0.0,0.0,0.0,1.0
1.0,0.0,529827.0,37.1,84.0,30.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,5.0,0.0,1.0,30.0,6.0,2.0,2.9,1.0,2205.0,0.0,0.0,1.0,0.0
1.0,0.0,527563.0,37.8,52.0,24.0,2.0,3.0,5.0,1.0,4.0,0.0,1.0,2.0,1.0,5.7,3.0,1.0,48.0,7.2,0.0,3.7,1.0,2112.0,0.0,0.0,0.0,0.0
1.0,0.0,529399.0,37.6,84.0,30.0,0.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,55.0,8.1,2.0,3.9,1.0,2208.0,0.0,0.0,0.0,2.0
1.0,0.0,535196.0,38.0,130.0,16.0,1.0,3.0,4.0,2.0,4.0,0.0,2.0,2.0,2.0,2.0,0.6666666666666666,0.0,52.0,65.0,2.0,2.0,0.0,3205.0,1400.0,0.0,0.0,1.0
1.0,0.0,527563.0,39.1,120.0,18.0,2.0,3.0,1.0,2.0,1.0,3.0,0.0,2.0,2.0,5.3,1.0,4.0,64.0,8.0,1.0,3.9,1.0,2208.0,0.0,0.0,0.0,2.0
0.0,0.0,534787.0,38.0,56.0,14.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,2.0,3.0,3.0,57.0,65.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
1.0,0.0,533871.0,37.2,72.0,30.0,0.0,3.0,4.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,60.0,70.0,2.0,2.0,1.0,3205.0,0.0,0.0,0.0,2.0
1.0,0.0,528548.0,38.1,66.0,12.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,3.5,2.0,0.0,44.0,7.5,1.0,3.6,1.0,2124.0,0.0,0.0,1.0,2.0
1.0,0.0,535176.0,38.4,80.0,35.0,2.0,2.0,5.0,1.0,3.0,3.0,0.0,1.0,0.0,3.5,0.0,1.0,50.0,85.0,1.0,1.3,1.0,3205.0,0.0,0.0,0.0,1.0
1.0,0.0,528742.0,37.7,48.0,16.0,1.0,2.0,4.0,1.0,3.0,3.0,3.0,2.0,0.0,4.5,1.0,2.0,35.0,7.5,2.0,4.5,1.0,3205.0,0.0,0.0,0.0,2.0
1.0,0.0,529045.0,37.7,60.0,12.0,1.0,3.0,4.0,2.0,2.0,3.0,0.0,2.0,0.0,6.0,2.0,3.0,45.0,7.5,2.0,1.4,1.0,4206.0,0.0,0.0,0.0,0.0
0.0,0.0,527518.0,37.6,108.0,96.0,0.0,3.0,4.0,2.0,4.0,0.0,2.0,2.0,1.0,4.5,0.6666666666666666,1.0,52.0,6.1,1.0,3.7,0.0,3205.0,0.0,0.0,0.0,1.0
1.0,0.0,5290482.0,36.1,88.0,40.0,1.0,3.0,4.0,1.0,3.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,44.0,7.5,2.0,5.3,1.0,4205.0,0.0,0.0,1.0,0.0
1.0,0.0,534787.0,38.0,36.0,16.0,1.0,2.0,5.0,1.0,4.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,37.0,75.0,1.0,1.0,0.0,3111.0,0.0,0.0,0.0,1.0
1.0,0.0,527463.0,37.6,96.0,18.0,1.0,3.0,1.0,2.0,3.0,0.0,3.0,2.0,1.0,5.0,0.0,1.0,69.0,8.1,2.0,2.0,1.0,2208.0,0.0,0.0,0.0,2.0
0.0,0.0,529172.0,38.2,56.0,40.0,1.0,2.0,4.0,1.0,3.0,3.0,0.0,2.0,0.6666666666666666,7.5,1.6666666666666667,2.0,47.0,7.2,0.0,2.5,0.0,8300.0,0.0,0.0,1.0,2.0
1.0,0.0,528996.0,38.6,52.0,20.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,0.0,1.0,5.7,3.0,2.0,48.0,7.2,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0
1.0,0.0,528548.0,38.1,52.0,96.0,1.0,3.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,4.4,2.0,0.0,43.0,6.1,1.0,3.6,1.0,2124.0,0.0,0.0,1.0,2.0
1.0,0.0,533887.0,38.2,88.0,24.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,66.0,64.0,2.0,2.0,1.0,4205.0,3111.0,2209.0,0.0,1.0
0.0,0.0,528904.0,37.7,96.0,30.0,1.0,3.0,5.0,2.0,2.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,66.0,75.0,2.0,2.0,1.0,4205.0,0.0,0.0,0.0,0.0
1.0,0.0,535407.0,37.2,80.0,36.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,0.0,0.3333333333333333,50.0,60.0,2.0,2.0,1.0,1400.0,0.0,0.0,0.0,1.0
1.0,0.0,527563.0,38.1,52.0,24.0,2.0,2.0,5.0,1.0,4.0,3.0,1.0,2.0,1.0,7.0,3.0,0.0,54.0,7.5,1.0,2.6,1.0,5400.0,0.0,0.0,0.0,0.0
1.0,0.0,533902.0,38.1,80.0,51.0,1.0,3.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,3.0,54.0,82.0,2.0,2.0,1.0,7209.0,0.0,0.0,0.0,2.0
1.0,0.0,523190.0,38.0,84.0,24.0,3.0,3.0,5.0,2.0,3.0,0.0,0.0,2.0,0.0,4.5,3.0,0.0,36.0,6.6,0.0,3.9,1.0,3115.0,0.0,0.0,0.0,2.0
1.0,1.0,534073.0,37.5,66.0,13.0,1.6666666666666667,2.6666666666666665,3.6666666666666665,1.0,1.6666666666666667,2.3333333333333335,1.0,2.0,1.0,5.0,1.0,0.3333333333333333,40.0,4.5,1.6666666666666667,0.1,1.0,11124.0,0.0,0.0,0.0,2.0
0.0,0.0,534135.0,37.2,48.0,24.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,0.0,1.0,1.0,3.0,3.0,42.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1.0,1.0,5290409.0,39.2,164.0,24.0,0.0,3.0,2.0,2.0,2.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,72.0,6.2,1.6666666666666667,3.2,1.0,4207.0,0.0,0.0,0.0,0.0
0.0,0.0,529160.0,38.4,48.0,28.0,2.0,2.0,3.0,1.0,0.0,3.0,1.0,2.0,3.0,7.0,1.0,4.0,49.0,8.1,1.0,1.5,0.0,3111.0,0.0,0.0,1.0,2.0
1.0,0.0,534917.0,37.8,52.0,16.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.3333333333333333,1.0,46.0,81.0,0.0,2.0,1.0,2205.0,0.0,0.0,0.0,2.0
1.0,0.0,534784.0,38.6,120.0,16.0,1.0,3.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,62.0,2.0,2.0,1.0,2209.0,0.0,0.0,0.0,1.0
0.0,0.0,5299253.0,38.1,108.0,48.0,0.0,3.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,52.0,6.0,2.0,2.0,1.0,4205.0,0.0,0.0,0.0,2.0
1.0,0.0,534004.0,38.0,52.0,24.0,1.0,3.0,4.0,1.0,4.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,57.0,82.0,2.0,2.0,1.0,2209.0,0.0,0.0,1.0,1.0
1.0,0.0,534115.0,37.2,88.0,20.0,0.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,65.0,82.0,2.0,2.0,0.0,3205.0,0.0,0.0,0.0,1.0
1.0,0.0,529667.0,37.8,30.0,12.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,6.5,0.0,0.0,46.0,6.5,2.0,4.4,1.0,3205.0,0.0,0.0,1.0,0.0
1.0,0.0,5297159.0,39.2,100.0,24.0,1.0,3.0,4.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,1.3333333333333333,0.6666666666666666,60.0,7.5,2.0,3.0,1.0,2124.0,0.0,0.0,1.0,0.0
1.0,0.0,529388.0,38.2,66.0,16.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,2.0,2.0,3.0,0.0,0.0,36.0,6.6,2.0,3.4,1.0,31110.0,0.0,0.0,1.0,0.0
0.0,0.0,529427.0,37.5,88.0,24.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0,4.0,3.0,1.6666666666666667,69.0,8.2,1.0,5.0,0.0,3111.0,3112.0,0.0,1.0,2.0
1.0,1.0,5279822.0,37.2,64.0,28.0,3.0,2.0,0.0,1.0,3.0,3.0,3.0,2.0,1.0,5.5,3.0,0.6666666666666666,54.0,7.7,1.0,3.3,1.0,2208.0,0.0,0.0,1.0,0.0
1.0,0.0,527463.0,38.0,104.0,40.0,0.0,3.0,4.0,2.0,3.0,3.0,0.0,2.0,1.0,5.4,0.0,1.0,53.0,7.3,1.0,2.3,1.0,2209.0,0.0,0.0,0.0,0.0
1.0,0.0,527677.0,38.4,52.0,12.0,1.0,3.0,5.0,1.0,3.0,3.0,3.0,2.0,1.0,6.5,3.0,1.0,54.0,6.1,2.0,3.6,1.0,2208.0,0.0,0.0,0.0,2.0
1.0,0.0,530612.0,38.5,76.0,28.0,2.0,2.0,0.0,1.0,3.0,3.0,3.0,2.0,2.0,5.5,3.0,1.0,40.0,6.5,1.0,3.2,1.0,2208.0,0.0,0.0,1.0,2.0
0.0,0.0,535415.0,38.0,146.0,36.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,57.0,66.0,2.0,2.0,1.0,3205.0,0.0,0.0,1.0,1.0
1.0,1.0,530561.0,38.2,120.0,48.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,4.5,1.0,0.3333333333333333,37.0,6.1,1.0,2.6,1.0,1400.0,0.0,0.0,1.0,0.0
0.0,0.0,528682.0,38.4,52.0,21.0,2.0,2.0,5.0,1.0,0.3333333333333333,3.6666666666666665,2.3333333333333335,0.0,1.0,5.5,3.0,2.3333333333333335,43.0,6.8,0.0,3.6,0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,530242.0,37.2,108.0,12.0,1.0,3.0,4.0,2.0,1.0,0.0,3.0,2.0,1.0,6.0,1.0,2.0,52.0,8.2,2.0,7.4,1.0,2207.0,0.0,0.0,1.0,1.0
1.0,1.0,529172.0,38.1,124.0,24.0,1.0,3.0,1.0,2.0,1.0,0.0,3.0,2.0,2.0,7.0,1.0,0.6666666666666666,47.0,7.5,0.0,2.6,1.0,9400.0,0.0,0.0,1.0,2.0
1.0,0.0,530002.0,39.4,100.0,51.0,1.0,3.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,57.0,8.5,2.0,3.9,1.0,4205.0,0.0,0.0,0.0,0.0
1.0,0.0,534784.0,39.4,48.0,40.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.6666666666666666,1.0,49.0,74.0,2.0,2.0,1.0,2206.0,0.0,0.0,0.0,2.0
0.0,0.0,5289419.0,38.4,52.0,20.0,1.0,2.0,4.0,1.0,3.0,3.0,3.0,2.0,1.0,4.0,0.0,1.0,48.0,7.7,2.0,4.3,0.0,2124.0,0.0,0.0,1.0,2.0
0.0,0.0,528548.0,38.3,104.0,40.0,1.0,3.0,4.0,2.0,4.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,54.0,7.4,2.0,3.6,0.0,3113.0,0.0,0.0,1.0,0.0
1.0,0.0,529498.0,38.5,88.0,24.0,0.0,3.0,4.0,2.0,1.0,0.0,0.0,2.0,1.0,4.5,1.0,1.0,54.0,7.5,1.0,2.6,1.0,2205.0,0.0,0.0,0.0,2.0
0.0,0.0,529126.0,38.7,54.0,36.0,2.0,2.3333333333333335,0.0,1.0,1.0,2.0,1.0,2.0,0.0,7.0,3.0,1.0,39.0,6.0,1.0,2.6,0.0,300.0,0.0,0.0,1.0,2.0
0.0,0.0,529667.0,38.3,64.0,30.0,2.0,3.0,5.0,2.0,3.0,3.0,0.0,2.0,0.0,7.5,1.0,0.0,47.0,7.2,1.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,5291409.0,38.6,50.0,24.0,3.0,2.0,3.0,1.0,0.0,4.0,3.0,1.0,0.6666666666666666,7.0,3.0,1.3333333333333333,46.0,5.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,5287179.0,37.5,114.0,36.0,1.0,3.0,5.0,2.0,1.0,3.0,0.0,2.0,2.0,7.0,1.0,1.0,48.0,7.2,2.0,4.7,1.0,2208.0,0.0,0.0,0.0,0.0
0.0,0.0,530526.0,38.5,56.0,24.0,1.0,3.0,5.0,1.0,3.0,3.0,0.0,1.6666666666666667,1.0,5.0,0.0,0.0,33.0,3.9,1.0,3.9,1.0,3111.0,0.0,0.0,1.0,1.0
1.0,0.0,530526.0,39.3,96.0,28.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,1.6666666666666667,1.0,2.0,0.0,1.0,65.0,13.0,2.0,3.9,1.0,2208.0,0.0,0.0,1.0,0.0
1.0,0.0,5290759.0,37.7,76.0,20.0,1.0,3.0,4.0,0.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,0.0,53.0,6.5,2.0,3.9,1.0,3205.0,0.0,0.0,0.0,2.0
1.0,0.0,532110.0,39.2,104.0,51.0,0.0,3.0,4.0,1.0,1.0,0.0,2.0,2.0,1.0,5.0,0.0,1.0,47.0,7.5,2.0,2.6,1.0,2111.0,0.0,0.0,0.0,2.0
1.0,0.0,528996.0,38.1,54.0,18.0,2.0,2.0,3.0,1.0,0.0,3.0,1.0,0.0,0.6666666666666666,3.0,1.0,4.0,39.0,7.0,0.0,3.0,1.0,3111.0,0.0,0.0,0.0,2.0
1.0,0.0,534293.0,39.4,104.0,30.0,1.0,3.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,5.5,0.0,0.0,65.0,75.0,2.0,2.6,1.0,2207.0,0.0,0.0,0.0,2.0
0.0,0.0,534280.0,38.3,52.0,20.0,1.0,3.0,4.0,1.0,3.0,3.0,0.3333333333333333,1.0,1.0,2.0,0.0,1.0,53.0,86.0,0.0,2.0,0.0,2209.0,0.0,0.0,1.0,1.0
1.0,0.0,528214.0,40.3,114.0,36.0,1.0,3.0,1.0,2.0,1.0,3.0,0.0,2.0,2.0,4.4,0.0,1.0,68.0,7.7,2.0,4.8,1.0,2209.0,0.0,0.0,0.0,0.0
0.0,0.0,527933.0,39.1,72.0,30.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,44.0,7.3,1.0,2.0,1.0,3300.0,0.0,0.0,1.0,0.0
1.0,0.0,530612.0,38.6,42.0,20.0,3.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,5.4,2.0,0.6666666666666666,43.0,8.1,2.0,4.4,1.0,2205.0,0.0,0.0,1.0,2.0
0.0,0.0,5283431.0,38.0,54.0,24.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,0.0,7.0,1.0,0.0,41.0,7.5,0.0,6.0,0.0,3112.0,3112.0,0.0,1.0,2.0
1.0,0.0,534917.0,37.1,84.0,40.0,1.0,3.0,4.0,1.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,75.0,81.0,0.0,2.0,1.0,2112.0,0.0,0.0,0.0,2.0
1.0,0.0,528743.0,37.9,52.0,14.0,1.0,3.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,37.0,4.0,2.0,3.4,1.0,2208.0,0.0,0.0,1.0,2.0
1.0,0.0,529766.0,38.9,96.0,24.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,7.5,1.0,1.0,69.0,13.0,2.0,6.5,1.0,2208.0,0.0,0.0,1.0,0.0
0.0,0.0,529304.0,38.1,48.0,40.0,1.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,6.5,0.0,1.0,54.0,8.1,2.0,4.1,1.0,3205.0,0.0,0.0,0.0,0.0
1.0,0.0,530401.0,38.0,84.0,40.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,75.0,7.2,2.0,4.3,1.0,3205.0,0.0,0.0,1.0,0.0
1.0,0.0,527702.0,38.0,88.0,24.0,1.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,1.0,5.7,1.0,1.0,36.0,6.6,2.0,3.7,1.0,2205.0,0.0,0.0,0.0,0.0
1.0,0.0,529849.0,37.8,48.0,32.0,1.0,2.3333333333333335,3.0,1.0,3.0,3.0,3.0,2.0,1.0,7.0,0.0,1.0,41.0,7.0,0.0,1.0,1.0,2124.0,0.0,0.0,0.0,2.0
1.0,0.0,534157.0,38.4,40.0,16.0,1.0,3.0,5.0,1.0,3.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,52.0,77.0,2.0,2.0,1.0,2209.0,0.0,0.0,0.0,1.0
0.0,0.0,534998.0,38.3,130.0,48.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,52.0,75.0,2.0,2.0,1.0,3205.0,0.0,0.0,0.0,1.0
0.0,0.0,529340.0,38.3,48.0,28.0,1.0,2.0,0.0,1.0,0.0,3.0,3.0,1.0,2.0,7.2,3.0,2.0,47.0,5.5,1.0,4.1,0.0,0.0,0.0,0.0,1.0,2.0
1.0,0.0,528904.0,38.0,80.0,16.0,1.0,3.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,4.5,0.0,0.0,60.0,7.2,2.0,4.1,1.0,7111.0,0.0,0.0,1.0,0.0
